l,delensing_efficiency
2,51.02624200127435
3,40.6647142710557
4,35.523451252362605
5,32.28429784395359
6,30.01127989060434
7,28.310001109851417
8,26.98396670830858
9,25.919088462516015
10,25.047569949432564
11,24.318329774053968
12,23.708122853182395
13,23.184717865262858
14,22.738843310159194
15,22.351483748332548
16,22.01635147971364
17,21.725214488418892
18,21.47009054622655
19,21.247142479895256
20,21.053341420465582
21,20.884372578103005
22,20.73635099571178
23,20.607281673020502
24,20.49560253197992
25,20.39936505729072
26,20.31670260907168
27,20.246217268740136
28,20.186851590143203
29,20.138364630958996
30,20.10043692029086
31,20.07164350928377
32,20.0505382845531
33,20.03660626513067
34,20.02951771982383
35,20.028801431867784
36,20.033964465603958
37,20.044587746995575
38,20.060305884382963
39,20.080878855540117
40,20.106104853308537
41,20.135766840186154
42,20.16962803417694
43,20.207447559704782
44,20.248981044244452
45,20.293973652120243
46,20.342202434511204
47,20.393490562345207
48,20.44768700783899
49,20.50464264856302
50,20.564194685585818
51,20.626189570350117
52,20.690542979889536
53,20.757157969911884
54,20.825955526999827
55,20.896847943600108
56,20.969742922339936
57,21.044603032758612
58,21.121390991555987
59,21.200063097015025
60,21.28058444408773
61,21.36289863546719
62,21.44691552644372
63,21.532529321643686
64,21.619642789003333
65,21.708133817734524
66,21.79790565319329
67,21.88890217288403
68,21.98108283092776
69,22.074403498373034
70,22.16881834015045
71,22.264287992819998
72,22.360812948574992
73,22.458403875201316
74,22.557067448684705
75,22.6568245868484
76,22.757667275144485
77,22.85955810340006
78,22.9624595364229
79,23.066317829006845
80,23.171083400599265
81,23.276711927077937
82,23.38315937667665
83,23.490387386799362
84,23.598364401431834
85,23.707036277760263
86,23.816376796255508
87,23.926354980312155
88,24.036956021885096
89,24.148155775454946
90,24.25993344475261
91,24.372271894394455
92,24.48515859891662
93,24.598585114454213
94,24.71253604959114
95,24.827008554272368
96,24.94198410865526
97,25.057452384056038
98,25.173402574877244
99,25.289821180109783
100,25.406691956163833
