kh,P_k
1.00000000e-04,3.96854124e+02
1.04737090e-04,4.14971416e+02
1.09698580e-04,4.33914864e+02
1.14895100e-04,4.53722053e+02
1.20337784e-04,4.74432228e+02
1.26038293e-04,4.96086317e+02
1.32008840e-04,5.18727089e+02
1.38262217e-04,5.42399280e+02
1.44811823e-04,5.67149643e+02
1.51671689e-04,5.93027019e+02
1.58856513e-04,6.20082416e+02
1.66381689e-04,6.48368999e+02
1.74263339e-04,6.77942245e+02
1.82518349e-04,7.08860187e+02
1.91164408e-04,7.41183490e+02
2.00220037e-04,7.74975382e+02
2.09704640e-04,8.10301763e+02
2.19638537e-04,8.47231390e+02
2.30043012e-04,8.85835985e+02
2.40940356e-04,9.26190397e+02
2.52353917e-04,9.68372739e+02
2.64308149e-04,1.01246441e+03
2.76828663e-04,1.05855005e+03
2.89942285e-04,1.10671780e+03
3.03677112e-04,1.15705957e+03
3.18062569e-04,1.20967108e+03
3.33129479e-04,1.26465197e+03
3.48910121e-04,1.32210600e+03
3.65438307e-04,1.38214080e+03
3.82749448e-04,1.44486823e+03
4.00880633e-04,1.51040446e+03
4.19870708e-04,1.57887020e+03
4.39760361e-04,1.65039080e+03
4.60592204e-04,1.72509637e+03
4.82410870e-04,1.80312171e+03
5.05263107e-04,1.88460617e+03
5.29197874e-04,1.96969416e+03
5.54266452e-04,2.05853518e+03
5.80522552e-04,2.15128395e+03
6.08022426e-04,2.24809997e+03
6.36824994e-04,2.34914796e+03
6.66991966e-04,2.45459781e+03
6.98587975e-04,2.56462475e+03
7.31680714e-04,2.67940885e+03
7.66341087e-04,2.79913529e+03
8.02643352e-04,2.92399404e+03
8.40665289e-04,3.05417983e+03
8.80488358e-04,3.18989207e+03
9.22197882e-04,3.33133447e+03
9.65883224e-04,3.47871476e+03
1.01163798e-03,3.63224369e+03
1.05956018e-03,3.79213556e+03
1.10975250e-03,3.95860701e+03
1.16232247e-03,4.13187730e+03
1.21738273e-03,4.31216596e+03
1.27505124e-03,4.49969374e+03
1.33545156e-03,4.69468050e+03
1.39871310e-03,4.89734573e+03
1.46497140e-03,5.10790606e+03
1.53436841e-03,5.32657537e+03
1.60705282e-03,5.55356226e+03
1.68318035e-03,5.78906934e+03
1.76291412e-03,6.03329165e+03
1.84642494e-03,6.28641471e+03
1.93389175e-03,6.54861363e+03
2.02550194e-03,6.82004981e+03
2.12145178e-03,7.10087127e+03
2.22194686e-03,7.39120875e+03
2.32720248e-03,7.69117553e+03
2.43744415e-03,8.00086153e+03
2.55290807e-03,8.32033459e+03
2.67384162e-03,8.64963606e+03
2.80050389e-03,8.98878030e+03
2.93316628e-03,9.33774780e+03
3.07211300e-03,9.69648495e+03
3.21764175e-03,1.00648999e+04
3.37006433e-03,1.04428603e+04
3.52970730e-03,1.08301876e+04
3.69691271e-03,1.12266521e+04
3.87203878e-03,1.16319725e+04
4.05546074e-03,1.20458089e+04
4.24757155e-03,1.24677627e+04
4.44878283e-03,1.28973660e+04
4.65952567e-03,1.33340870e+04
4.88025158e-03,1.37773217e+04
5.11143348e-03,1.42263892e+04
5.35356668e-03,1.46804867e+04
5.60716994e-03,1.51387253e+04
5.87278661e-03,1.56002160e+04
6.15098579e-03,1.60640249e+04
6.44236351e-03,1.65289068e+04
6.74754405e-03,1.69933414e+04
7.06718127e-03,1.74558059e+04
7.40196000e-03,1.79148054e+04
7.75259749e-03,1.83687775e+04
8.11984499e-03,1.88160965e+04
8.50448934e-03,1.92549831e+04
8.90735464e-03,1.96833871e+04
9.32930403e-03,2.00991252e+04
9.77124154e-03,2.04998482e+04
1.02341140e-02,2.08831056e+04
1.07189132e-02,2.12463094e+04
1.12266777e-02,2.15867924e+04
1.17584955e-02,2.19017684e+04
