l,delensing_efficiency
2,85.65218805306517
3,94.01440807132224
4,97.22797124481103
5,98.55681482437092
6,99.17618024977254
7,99.49519388828979
8,99.67310722949045
9,99.77878241693736
10,99.84485409953163
11,99.88790096927545
12,99.9169860405418
13,99.93719271031182
14,99.95161353162912
15,99.96211915634146
16,99.96992749279472
17,99.97582926572284
18,99.98035538358582
19,99.98387467676719
20,99.9866452425582
21,99.98884965427183
22,99.99062049704646
23,99.99205622057129
24,99.99323015966841
25,99.99419733049595
26,99.99499967766266
27,99.99566963136824
28,99.99623246496091
29,99.99670814220612
30,99.99711237803271
31,99.99745748554925
32,99.99775336881686
33,99.9980081686767
34,99.99822851501794
35,99.99841980545037
36,99.99858647352787
37,99.99873218916466
38,99.99886000370137
39,99.99897247075263
40,99.99907173111582
41,99.99915958445565
42,99.99923755007
43,99.99930691660917
44,99.99936878136276
45,99.99942408188052
46,99.99947362345905
47,99.99951810036193
48,99.99955811227566
49,99.99959417808282
50,99.99962674770867
51,99.99965621291267
52,99.99968291685771
53,99.99970715926361
54,99.9997292031004
55,99.99974927920671
56,99.99976759076452
57,99.99978431779412
58,99.99979961938048
59,99.99981363633134
60,99.99982649369787
61,99.99983830245215
62,99.99984916117631
63,99.9998591577948
64,99.99986837106732
65,99.99987687141054
66,99.99988472224588
67,99.99989198085638
68,99.99989869887766
69,99.99990492280675
70,99.99991069458716
71,99.99991605214898
72,99.99992102998822
73,99.99992565937046
74,99.99992996860944
75,99.9999339834497
76,99.99993772717033
77,99.99994122085711
78,99.99994448373448
79,99.99994753330218
80,99.9999503855696
81,99.99995305519957
82,99.99995555562172
83,99.99995789916079
84,99.99996009714
85,99.99996215990902
86,99.99996409704163
87,99.99996591733431
88,99.99996762891469
89,99.99996923925296
90,99.99997075524313
91,99.99997218325252
92,99.99997352916783
93,99.99997479843435
94,99.99997599607843
95,99.99997712676817
96,99.99997819480771
97,99.9999792041969
98,99.99998015864546
99,99.99998106159437
100,99.9999819162378
