kh,P_k
0.0001,1290.3858123300956
0.00512462311557789,46339.43871374202
0.01014924623115578,67682.53851420658
0.015173869346733669,74937.00327453375
0.02019849246231156,73777.27986270444
0.02522311557788945,68060.97521008173
0.03024773869346734,60571.7596123937
0.035272361809045236,53159.7045225602
0.04029698492462312,46830.90330845997
0.04532160804020101,41906.73241029887
0.0503462311557789,38331.33991204262
0.055370854271356795,35749.61580475291
0.06039547738693468,33696.54424315637
0.06542010050251257,31843.589411598685
0.07044472361809047,29922.11272612421
0.07546934673366835,27759.094831020535
0.08049396984924624,25388.42878140926
0.08551859296482413,22980.10696234803
0.09054321608040201,20719.812280651546
0.09556783919597991,18740.071355542303
0.1005924623115578,17119.51172555999
0.10561708542713569,15881.15815574025
0.11064170854271359,14982.909548005615
0.11566633165829147,14327.91721292395
0.12069095477386936,13797.388301760573
0.12571557788944723,13284.307083474738
0.13074020100502512,12715.350994540635
0.135764824120603,12060.476421748863
0.14078944723618092,11329.937028242597
0.1458140703517588,10560.3085480096
0.1508386934673367,9799.148986732807
0.15586331658291458,9095.20779918475
0.16088793969849247,8489.209839122494
0.16591256281407035,8001.498624214595
0.17093718592964824,7625.5713535232235
0.17596180904522613,7335.399450937886
0.180986432160804,7098.579875857302
0.18601105527638193,6884.547286595535
0.1910356783919598,6666.592016409821
0.1960603015075377,6425.087486363749
0.20108492462311559,6152.956695332768
0.20610954773869347,5856.997329768201
0.21113417085427136,5552.605106195461
0.21615879396984924,5256.799958170615
0.22118341708542716,4984.134697336594
0.22620804020100505,4744.689497328194
0.23123266331658293,4542.418934109526
0.23625728643216082,4374.770594458083
0.2412819095477387,4234.463967107296
0.2463065326633166,4111.941531648096
0.2513311557788945,3997.079485297768
0.25635577889447236,3880.8208448559926
0.26138040201005025,3757.348303038379
0.26640502512562814,3625.5475829211196
0.271429648241206,3488.3000618751985
0.2764542713567839,3350.2823958056256
0.28147889447236185,3216.215789064188
0.28650351758793974,3090.2536615385657
0.2915281407035176,2975.643925014733
0.2965527638190955,2874.0061876263917
0.3015773869346734,2784.7177747277833
0.3066020100502513,2705.2348361671957
0.31162663316582917,2632.187241229201
0.31665125628140706,2562.410143335427
0.32167587939698494,2493.4545348252905
0.32670050251256283,2423.729045245766
0.3317251256281407,2352.6026464991482
0.3367497487437186,2280.476569739775
0.3417743718592965,2208.6279402509053
0.3467989949748744,2138.742545060225
0.35182361809045226,2072.3245050001337
0.35684824120603015,2010.2932393078345
0.36187286432160803,1952.9145173399693
0.366897487437186,1899.9483389437924
0.37192211055276386,1850.8056912085126
0.37694673366834175,1804.6425777039221
0.38197135678391964,1760.472049507434
0.3869959798994975,1717.3657210797976
0.3920206030150754,1674.6766620603373
0.3970452261306533,1632.163708350375
0.4020698492462312,1589.9688444302376
0.40709447236180907,1548.462578070978
0.41211909547738695,1508.0611377216464
0.41714371859296484,1469.1161795843377
0.4221683417085427,1431.8938574545728
0.4271929648241206,1396.5703399012668
0.4322175879396985,1363.174539265558
0.4372422110552764,1331.52813828676
0.44226683417085433,1301.2941060874668
0.4472914572864322,1272.1244960977838
0.4523160804020101,1243.7710704603526
0.457340703517588,1216.0753862823815
0.4623653266331659,1188.9179941390255
0.46738994974874376,1162.2320870645888
0.47241457286432165,1136.0508554442672
0.47743919597989953,1110.5023280751097
0.4824638190954774,1085.737195797144
0.4874884422110553,1061.8512989137835
0.4925130653266332,1038.8642012954674
0.4975376884422111,1016.7462316268776
0.502562311557789,995.4487473556421
0.5075869346733669,974.9123701508217
0.5126115577889447,955.0564013180742
0.5176361809045227,935.7776657063532
0.5226608040201005,916.9723669894801
0.5276854271356785,898.576975736635
0.5327100502512563,880.5824081490615
0.5377346733668342,863.009278943166
0.5427592964824121,845.8766463396431
0.54778391959799,829.1900679556493
0.5528085427135678,812.9576150218137
0.5578331658291458,797.1982333565015
0.5628577889447237,781.9267452230873
0.5678824120603015,767.1321242597394
0.5729070351758795,752.7737709647741
0.5779316582914573,738.8042440030174
0.5829562814070353,725.1927361057769
0.5879809045226131,711.9245282679206
0.593005527638191,698.9836523722364
0.5980301507537689,686.345620215104
0.6030547738693468,673.9875970308739
0.6080793969849246,661.9060399865588
0.6131040201005026,650.1141535924357
0.6181286432160804,638.6235228800467
0.6231532663316584,627.4307026749987
0.6281778894472362,616.518768345491
0.6332025125628141,605.8792365767581
0.638227135678392,595.5091172112178
0.6432517587939699,585.3964605146252
0.6482763819095478,575.5294577457561
0.6533010050251257,565.8970220441091
0.6583256281407036,556.4887422331518
0.6633502512562814,547.2956997963679
0.6683748743718594,538.3114482634179
0.6733994974874372,529.5300595938926
0.6784241206030152,520.9458058555322
0.683448743718593,512.5531514561003
0.6884733668341709,504.34674571349075
0.6934979899497488,496.3214157479208
0.6985226130653267,488.4721596808436
0.7035472361809045,480.7941401260249
0.7085718592964825,473.2826779589754
0.7135964824120603,465.93324635161747
0.7186211055276382,458.74146505976387
0.7236457286432161,451.7030949515796
0.728670351758794,444.81403276584064
0.733694974874372,438.0703060893123
0.7387195979899498,431.46806854316077
0.7437442211055277,425.0035951687793
0.7487688442211056,418.67327800391445
0.7537934673366835,412.4736218404
0.7588180904522613,406.40124015527647
0.7638427135678393,400.45285120745
0.7688673366834171,394.62527429244244
0.773891959798995,388.91542614814057
0.7789165829145729,383.3203175048153
0.7839412060301508,377.8370497729931
0.7889658291457287,372.46281186307067
0.7939904522613066,367.19487713088523
0.7990150753768844,362.0306004436891
0.8040396984924624,356.96741536128434
0.8090643216080403,352.0028314272941
0.8140889447236181,347.13443156580377
0.8191135678391961,342.3598634273357
0.8241381909547739,337.67680977787165
0.8291628140703519,333.08301151075716
0.8341874371859297,328.576277817539
0.8392120603015076,324.15448375658
0.8442366834170855,319.81556790935446
0.8492613065326634,315.5575301330261
0.8542859296482412,311.3784294048127
0.8593105527638192,307.2763817538994
0.864335175879397,303.2495582768711
0.869359798994975,299.2961832328374
0.8743844221105528,295.414532214631
0.8794090452261307,291.60293039263036
0.8844336683417087,287.85975082794596
0.8894582914572865,284.18341285186517
0.8944829145728644,280.5723805085925
0.8995075376884423,277.02516105851225
0.9045321608040202,273.54030353928056
0.909556783919598,270.11639738222993
0.914581407035176,266.75207108167507
0.9196060301507538,263.4459909148255
0.9246306532663318,260.1968597101271
0.9296552763819096,257.003415661951
0.9346798994974875,253.86443118966343
0.9397045226130654,250.77871183918242
0.9447291457286433,247.74509522523942
0.9497537688442211,244.76245001262396
0.9547783919597991,241.8296749347966
0.9598030150753769,238.94569784830935
0.9648276381909549,236.10947482155254
0.9698522613065328,233.31998925642034
0.9748768844221106,230.57625104154394
0.9799015075376886,227.8772957358102
0.9849261306532664,225.22218378093118
0.9899507537688443,222.6099997419052
0.9949753768844222,220.0398515742385
1.0,217.51086991686185
