z,d_A
0.0,0.0
0.04040404040404041,170.80848316104803
0.08080808080808081,325.5864777061478
0.12121212121212122,466.01938436027757
0.16161616161616163,593.5725866479069
0.20202020202020204,709.5276932741053
0.24242424242424243,815.0115629780538
0.2828282828282829,911.0197438701834
0.32323232323232326,998.4355576108751
0.36363636363636365,1078.0457631481747
0.4040404040404041,1150.5535150514238
0.4444444444444445,1216.5891668881059
0.48484848484848486,1276.719345893332
0.5252525252525253,1331.4546308815143
0.5656565656565657,1381.256093362386
0.6060606060606061,1426.5409066034579
0.6464646464646465,1467.687184834365
0.686868686868687,1505.0381818673252
0.7272727272727273,1538.9059528270454
0.7676767676767677,1569.5745627197432
0.8080808080808082,1597.3029099195844
0.8484848484848485,1622.3272203197491
0.888888888888889,1644.863258128427
0.9292929292929294,1665.1082915095394
0.9696969696969697,1683.2428450316543
1.0101010101010102,1699.4322658570925
1.0505050505050506,1713.8281265159162
1.090909090909091,1726.5694837655853
1.1313131313131315,1737.7840102815428
1.1717171717171717,1747.5890136368519
1.2121212121212122,1756.0923551171236
1.2525252525252526,1763.3932793076322
1.292929292929293,1769.583164025905
1.3333333333333335,1774.746199010404
1.373737373737374,1778.9600007788001
1.4141414141414144,1782.2961702096054
1.4545454545454546,1784.8207986560055
1.494949494949495,1786.594927752401
1.5353535353535355,1787.6749675076856
1.575757575757576,1788.1130767825032
1.6161616161616164,1787.9575098107273
1.6565656565656568,1787.2529320398626
1.696969696969697,1786.040708224118
1.7373737373737375,1784.3591654016602
1.777777777777778,1782.2438331191522
1.8181818181818183,1779.727663027857
1.8585858585858588,1776.8412297627901
1.8989898989898992,1773.6129148264795
1.9393939393939394,1770.0690750292201
1.97979797979798,1766.2341968858873
2.0202020202020203,1762.131038233443
2.060606060606061,1757.7807582113828
2.101010101010101,1753.2030366380272
2.1414141414141414,1748.4161837173458
2.181818181818182,1743.4372409227335
2.2222222222222223,1738.2820738247556
2.262626262626263,1732.9654575583925
2.303030303030303,1727.5011555609274
2.3434343434343434,1721.9019921535562
2.383838383838384,1716.1799194874384
2.4242424242424243,1710.3460793276158
2.464646464646465,1704.4108601055268
2.505050505050505,1698.3839496322278
2.545454545454546,1692.2743838295178
2.585858585858586,1686.0905918045519
2.6262626262626263,1679.8404375649025
2.666666666666667,1673.5312586450873
2.707070707070707,1667.1699018920574
2.747474747474748,1660.7627566357896
2.787878787878788,1654.3157854517585
2.8282828282828287,1647.8345527044419
2.868686868686869,1641.324251045024
2.909090909090909,1634.7897260218954
2.94949494949495,1628.2354989493008
2.98989898989899,1621.6657881674282
3.0303030303030307,1615.0845288162277
3.070707070707071,1608.4953912352414
3.111111111111111,1601.901798092565
3.151515151515152,1595.3069403377337
3.191919191919192,1588.7137920656899
3.2323232323232327,1582.1251243720278
3.272727272727273,1575.54351827335
3.3131313131313136,1568.9713767607293
3.353535353535354,1562.4109360489497
3.393939393939394,1555.8642760793084
3.4343434343434347,1549.3333303292861
3.474747474747475,1542.8198949782866
3.5151515151515156,1536.3256374748878
3.555555555555556,1529.852104547583
3.5959595959595965,1523.4007296978186
3.6363636363636367,1516.9728402112273
3.676767676767677,1510.5696637202573
3.7171717171717176,1504.192334348953
3.757575757575758,1497.841898468356
3.7979797979797985,1491.519320088913
3.8383838383838387,1485.2254859143559
3.878787878787879,1478.9612100797365
3.9191919191919196,1472.72723859467
3.95959595959596,1466.5242535113298
4.0,1460.3528768353383
