k,relative_difference
0.0001,0.0
0.00010099627014900441,0.0
0.0001020024658401068,0.0
0.0001030186859585202,0.0
0.00010404503037462154,0.0
0.00010508159995376647,0.0
0.00010612849656620207,0.0
0.00010718582309707831,0.0
0.00010825368345655918,0.0
0.0001093321825900346,0.0
0.00011042142648843412,0.0
0.00011152152219864322,0.0
0.00011263257783402363,0.0
0.00011375470258503817,0.0
0.00011488800672998166,0.0
0.00011603260164581864,0.0
0.00011718859981912913,0.0
0.00011835611485716336,0.0
0.00011953526149900664,0.0
0.00012072615562685561,0.0
0.00012192891427740658,0.0
0.00012314365565335757,0.0
0.00012437049913502474,0.0
0.00012560956529207478,0.0
0.00012686097589537394,0.0
0.00012812485392895524,0.0
0.0001294013236021049,0.0
0.0001306905103615693,0.0
0.00013199254090388312,0.0
0.00013330754318782094,0.0
0.00013463564644697234,0.0
0.00013597698120244267,0.0
0.00013733167927567992,0.0
0.00013869987380143002,0.0
0.00014008169924082045,0.0
0.00014147729139457488,0.0
0.000142886787416359,0.0
0.0001443103258262596,0.0
0.00014574804652439763,0.0
0.00014720009080467725,0.0
0.00014866660136867162,0.0
0.00015014772233964708,0.0
0.000151643599276727,0.0
0.00015315437918919693,0.0
0.00015468021055095192,0.0
0.00015622124331508822,0.0
0.00015777762892864,0.0
0.000159349520347463,0.0
0.00016093707205126645,0.0
0.00016254044005879493,0.0
0.00016415978194316114,0.0
0.00016579525684733156,0.0
0.00016744702549976672,0.0
0.0001691152502302167,0.0
0.00017080009498567447,0.0
0.00017250172534648793,0.0
0.00017422030854263255,0.0
0.00017595601347014618,0.0
0.00017770901070772742,0.0
0.00017947947253349957,0.0
0.0001812675729419414,0.0
0.00018307348766098675,0.0
0.00018489739416929443,0.0
0.00018673947171369014,0.0
0.00018859990132678216,0.0
0.00019047886584475267,0.0
0.0001923765499253261,0.0
0.0001942931400659167,0.0
0.00019622882462195674,0.0
0.00019818379382540753,0.0
0.0002001582398034545,0.0
0.00020215235659738897,0.0
0.0002041663401816777,0.0
0.00020620038848322256,0.0
0.00020825470140081205,0.0
0.00021032948082476657,0.0
0.00021242493065677973,0.0
0.0002145412568299565,0.0
0.00021667866732905228,0.0
0.00021883737221091218,0.0
0.00022101758362511514,0.0
0.00022321951583482305,0.0
0.00022544338523783756,0.0
0.00022768941038786716,0.0
0.0002299578120160056,0.0
0.0002322488130524248,0.0
0.00023456263864828314,0.0
0.00023689951619785307,0.0
0.00023925967536086816,0.0
0.00024164334808509335,0.0
0.00024405076862911993,0.0
0.00024648217358538767,0.0
0.00024893780190343614,0.0
0.0002514178949133878,0.0
0.0002539226963496651,0.0
0.000256452452374944,0.0
0.00025900741160434534,0.0
0.0002615878251298684,0.0
0.0002641939465450671,0.0
0.0002668260319699723,0.0
0.0002694843400762621,0.0
0.0002721691321126834,0.0
0.00027488067193072647,0.0
0.000277619226010555,0.0
0.0002803850634871953,0.0
0.0002831784561769852,0.0
0.00028599967860428816,0.0
0.0002888490080284712,0.0
0.0002917267244711542,0.0
0.0002946331107437287,0.0
0.0002975684524751515,0.0
0.0003005330381400158,0.0
0.0003035271590869009,0.0
0.0003065511095670048,0.0
0.0003096051867630626,0.0
0.0003126896908185524,0.0
0.0003158049248671918,0.0
0.0003189511950627294,0.0
0.0003221288106090322,0.0
0.00032533808379047304,0.0
0.00032857933000262046,0.0
0.00033185286778323524,0.0
0.00033515901884357467,0.0
0.00033849810810000926,0.0
0.0003418704637059543,0.0
0.00034527641708411973,0.0
0.0003487163029590808,0.0
0.00035219045939017385,0.0
0.00035569922780471965,0.0
0.0003592429530315773,0.0
0.0003628219833350328,0.0
0.0003664366704490255,0.0
0.0003700873696117149,0.0
0.00037377443960039195,0.0
0.0003774982427667392,0.0
0.0003812591450724404,0.0
0.00038505751612514654,0.0
0.0003888937292147992,0.0
0.0003927681613503164,0.0
0.00039668119329664303,0.0
0.0004006332096121719,0.0
0.0004046245986865363,0.0
0.00040865575277877915,0.0
0.00041272706805590335,0.0
0.0004168389446318054,0.0
0.0004209917866065972,0.0
0.000425186002106319,0.0
0.0004294220033230495,0.0
0.00043370020655541386,0.0
0.0004380210322494958,0.0
0.0004423849050401585,0.0
0.0004467922537927752,0.0
0.00045124351164537666,0.0
0.00045573911605121875,0.0
0.0004602795088217736,0.0
0.00046486513617014907,0.0
0.00046949644875494094,0.0
0.0004741739017245223,0.0
0.0004788979547617732,0.0
0.0004836690721292573,0.0
0.0004884877227148477,0.0
0.0004933543800778072,0.0
0.0004982695224953281,0.0
0.0005032336330095359,0.0
0.0005082471994749604,0.0
0.0005133107146064803,0.0
0.0005184246760277459,0.0
0.0005235895863200832,0.0
0.0005288059530718858,0.0
0.0005340742889284992,0.0
0.0005393951116426015,0.0
0.0005447689441250858,0.0
0.0005501963144964504,0.0
0.000555677756138701,0.0
0.0005612138077477684,0.0
0.0005668050133864503,0.0
0.0005724519225378802,0.0
0.0005781550901595269,0.0
0.0005839150767377358,0.0
0.00058973244834281,0.0
0.0005956077766846422,0.0
0.0006015416391689001,0.0
0.0006075346189537717,0.0
