k,rel_diff
0.0001,-1.1544325728474192e-05
0.010149748743718592,0.0008075476872824172
0.020199497487437185,0.00034115462161343757
0.03024924623115578,4.6072794690488195e-08
0.04029899497487437,-0.0002222877854364258
0.050348743718592964,-0.00036872248842201305
0.06039849246231156,-0.0004740795474550419
0.07044824120603015,-0.0005514990171711087
0.08049798994974874,-0.0005980531978581061
0.09054773869346734,-0.0006402698060785639
0.10059748743718593,-0.0006756179799778383
0.11064723618090452,-0.0007057713228255658
0.12069698492462312,-0.0007275290898465236
0.1307467336683417,-0.0007408742183703243
0.14079648241206028,-0.0007503183793550194
0.1508462311557789,-0.0007643096559247775
0.16089597989949747,-0.0007756887755645536
0.17094572864321605,-0.0007885334704396119
0.18099547738693467,-0.0007975293237549863
0.19104522613065325,-0.0008030521468619378
0.20109497487437183,-0.0008052005587672051
0.21114472361809045,-0.0008086586418549757
0.22119447236180903,-0.0008140849399584926
0.23124422110552761,-0.0008214088486079296
0.24129396984924623,-0.0008270293726928557
0.2513437185929648,-0.0008302966462077066
0.2613934673366834,-0.0008309687558150092
0.271443216080402,-0.0008314998788562233
0.28149296482412056,-0.0008335028952151102
0.2915427135678392,-0.0008370079562715071
0.3015924623115578,-0.0008407080254047017
0.31164221105527634,-0.0008434209675647342
0.32169195979899495,-0.0008445026284027435
0.33174170854271356,-0.0008444252902827243
0.3417914572864321,-0.0008450728760229786
0.35184120603015073,-0.0008467935117182357
0.36189095477386934,-0.0008489623906730026
0.3719407035175879,-0.0008509307541541
0.3819904522613065,-0.0008518459765136654
0.3920402010050251,-0.0008522705877205272
0.4020899497487437,-0.0008522829891575157
0.4121396984924623,-0.0008530130746017273
0.4221894472361809,-0.000854173414094328
0.43223919597989946,-0.0008555846698613534
0.44228894472361807,-0.0008564243864015442
0.4523386934673367,-0.0008567128332089835
0.46238844221105524,-0.0008571495948727081
0.47243819095477385,-0.0008575477461750802
0.48248793969849246,-0.0008578813706782151
0.492537688442211,-0.0008587453023864988
0.5025874371859296,-0.0008593128969957009
0.5126371859296482,-0.0008596889620157144
0.5226869346733668,-0.0008604242503097437
0.5327366834170854,-0.000860318719588471
0.542786432160804,-0.000861019252732631
0.5528361809045226,-0.0008611918004942654
0.5628859296482411,-0.000861795835920387
0.5729356783919598,-0.0008620422928076188
0.5829854271356784,-0.0008627031799418594
0.5930351758793969,-0.0008624463596081933
0.6030849246231156,-0.0008627960882964247
0.6131346733668341,-0.0008632337401711654
0.6231844221105527,-0.0008633507378336125
0.6332341708542714,-0.0008637308151202561
0.6432839195979899,-0.0008639781862522788
0.6533336683417085,-0.0008641733221049774
0.6633834170854271,-0.0008643162886888822
0.6734331658291457,-0.0008644572917498872
0.6834829145728643,-0.0008646033276386023
0.6935326633165829,-0.0008647531441206002
0.7035824120603015,-0.000864905588802034
0.71363216080402,-0.0008650596011310352
0.7236819095477387,-0.0008652142051044365
0.7337316582914573,-0.0008653685026149827
0.7437814070351758,-0.0008655216673678634
0.7538311557788945,-0.0008656729393196061
0.763880904522613,-0.0008658216195895907
0.7739306532663316,-0.0008659670657887863
0.7839804020100503,-0.0008661086877409518
0.7940301507537688,-0.0008662459435565539
0.8040798994974874,-0.0008663783360250976
0.814129648241206,-0.0008665054131831162
0.8241793969849246,-0.0008666270197484893
0.8342291457286432,-0.0008667434278674113
0.8442788944723618,-0.000866854932277672
0.8543286432160804,-0.0008669618117789213
0.8643783919597989,-0.0008670643301912362
0.8744281407035176,-0.0008671627372803803
0.8844778894472362,-0.0008672572695762604
0.8945276381909547,-0.0008673481511768388
0.9045773869346734,-0.0008674355944517931
0.9146271356783919,-0.0008675198007594975
0.9246768844221105,-0.0008676009610509849
0.9347266331658292,-0.000867679256484899
0.9447763819095477,-0.000867754858974501
0.9548261306532663,-0.0008678279317076987
0.9648758793969849,-0.0008678986296415392
0.9749256281407035,-0.0008679670999476308
0.984975376884422,-0.0008680334824457958
0.9950251256281406,-0.0008680979100046393
1.0050748743718592,-0.0008681605089148059
