k,P_k
0.0001,396.85412412645763
0.00010473708979594497,414.97141626952094
0.00010969857978923837,433.91486394586826
0.00011489510001873092,453.72205284465497
0.00012033778407775895,474.4322278720094
0.00012603829296797275,496.0863165410576
0.00013200884008314178,518.7270885062147
0.0001382622173764656,542.3992797142081
0.00014481182276745335,567.1496429385567
0.00015167168884709227,593.0270185855471
0.00015885651294280528,620.0824161515113
0.00016638168860761288,648.368998525148
0.000174263338600965,677.9422449299987
0.00018251834943190434,708.8601874354297
0.0001911644075385702,741.1834899153233
0.00020022003718155843,774.9753815964758
0.00020970464013232322,810.3017631063864
0.0002196385372416546,847.2313904335442
0.00023004301197729178,885.8359853057536
0.0002409403560239525,926.1903971304527
0.0002523539170434766,968.3727391797559
0.0002643081486974105,1012.4644145018055
0.00027682866303920656,1058.550045841486
0.00028994228538828766,1106.7178048822495
0.0003036771118035458,1157.0595699944731
0.0003180625692794119,1209.6710764919076
0.0003331294787934673,1264.6519739198209
0.00034891012134067716,1322.105995724176
0.0003654383070957256,1382.140803146517
0.0003827494478516312,1444.8682261788442
0.0004008806328898465,1510.4044562224835
0.00041987070844439086,1578.8701979328202
0.00043976036093027187,1650.3908029503314
0.00046059220411451057,1725.0963709387554
0.00048241087041653687,1803.1217115253778
0.0005052631065335679,1884.60617185983
0.000529197873595844,1969.694158863592
0.0005542664520663105,2058.535179614565
0.0005805225516094897,2151.283954490617
0.0006080224261649421,2248.099966116915
0.0006368249944718586,2349.147964003232
0.0006669919663030119,2454.597813872735
0.0006985879746785245,2564.6247493989918
0.0007316807143427195,2679.4088494525354
0.0007663410868007457,2799.135294171496
0.0008026433522257173,2923.994038867776
0.0008406652885618323,3054.1798344610866
0.000880488358164346,3189.8920679053767
0.0009221978823334324,3331.3344665083337
0.0009658832241158701,3478.7147636067175
0.0010116379797662069,3632.2436918195795
0.0010595601792776153,3792.1355562592325
0.0011097524964120717,3958.6070052202663
0.0011623224686798522,4131.877302890274
0.0012173827277396608,4312.165961649956
0.0012750512407130128,4499.693738570337
0.0013354515629298983,4694.680500882201
0.0013987131026472375,4897.3457269645
0.0014649713983072852,5107.906063422675
0.0015343684089300115,5326.5753666243945
0.0016070528182616387,5553.5622585859355
0.0016831803533309561,5789.069340717801
0.0017629141180959466,6033.291653382401
0.001846424942895543,6286.414713246828
0.00193389175045523,6548.613629614012
0.0020255019392306658,6820.049806051809
0.0021214517849106294,7100.871271724648
0.002221946860939522,7391.208754531949
0.0023272024789604074,7691.175534484259
0.0024374441501222193,8000.861527244676
0.002552908068239516,8320.334594946757
0.002673841615839946,8649.636063437023
0.0028005038941836297,8988.78029704582
0.0029331662783900424,9337.74779627899
0.0030721129988617564,9696.484946595545
0.003217641750250735,10064.899859529838
0.0033700643292719264,10442.860297447673
0.0035297073027306483,10830.187575581967
0.003696912707195025,11226.652111106578
0.0038720387818125526,11631.972484317725
0.004055460735840827,12045.808883694726
0.004247571552536897,12467.762679247378
0.004448782831127582,12897.366020845728
0.004659525668664679,13334.087019602115
0.004880251583654427,13777.321670121411
0.005111433483440165,14226.389215747826
0.005353566677410722,14680.486672778514
0.005607169938205454,15138.725252427123
0.005872786613189479,15600.216025123975
0.0061509857885804955,16064.024872250555
0.0064423635087213675,16528.906754794796
0.00674754405311069,16993.34136504246
0.007067181273927489,17455.805925707595
0.0074019599969156365,17914.805373528907
0.007752597488629456,18368.777539400813
0.008119844993184008,18816.096481277295
