l,delensing_efficiency
2,51.02624200127435
3,40.6647142710557
4,35.523451252362605
5,32.28429784395359
6,30.011279890604342
7,28.310001109851424
8,26.983966708308582
9,25.919088462516008
10,25.047569949432575
11,24.318329774053968
12,23.70812285318239
13,23.18471786526286
14,22.7388433101592
15,22.35148374833254
16,22.016351479713634
17,21.725214488418903
18,21.470090546226555
19,21.24714247989525
20,21.053341420465575
21,20.884372578103008
22,20.736350995711785
23,20.607281673020513
24,20.495602531979916
25,20.39936505729072
26,20.316702609071683
27,20.246217268740132
28,20.186851590143206
29,20.138364630958993
30,20.100436920290864
31,20.071643509283774
32,20.0505382845531
33,20.03660626513068
34,20.029517719823826
35,20.028801431867784
36,20.033964465603958
37,20.044587746995564
38,20.060305884382966
39,20.080878855540117
40,20.10610485330854
41,20.135766840186157
42,20.16962803417695
43,20.20744755970478
44,20.24898104424445
45,20.29397365212025
46,20.342202434511197
47,20.393490562345196
48,20.447687007838983
49,20.504642648563017
50,20.564194685585825
51,20.62618957035011
52,20.690542979889532
53,20.757157969911887
54,20.825955526999827
55,20.89684794360011
56,20.969742922339943
57,21.044603032758612
58,21.121390991555984
59,21.20006309701502
60,21.28058444408772
61,21.36289863546719
62,21.446915526443718
63,21.53252932164369
64,21.619642789003336
65,21.708133817734517
66,21.79790565319328
67,21.888902172884023
68,21.981082830927757
69,22.074403498373023
70,22.168818340150448
71,22.26428799281999
72,22.360812948574992
73,22.458403875201316
74,22.557067448684705
75,22.6568245868484
76,22.757667275144488
77,22.859558103400055
78,22.962459536422895
79,23.06631782900685
80,23.171083400599272
81,23.276711927077937
82,23.38315937667665
83,23.49038738679936
84,23.598364401431823
85,23.70703627776026
86,23.816376796255497
87,23.926354980312155
88,24.03695602188509
89,24.148155775454942
90,24.259933444752612
91,24.372271894394444
92,24.485158598916623
93,24.59858511445422
94,24.712536049591144
95,24.827008554272364
96,24.941984108655255
97,25.057452384056038
98,25.173402574877247
99,25.28982118010979
100,25.406691956163833
