l,EE
2,0.057718995785452164
3,0.09982855852483953
4,0.12062946612325012
5,0.11721753441277917
6,0.09697839012329117
7,0.07042935627628437
8,0.04603896231966843
9,0.02814054702981319
10,0.0173369719797942
11,0.011989646743582718
12,0.009840168584323154
13,0.009036621504033077
14,0.008515791825030603
15,0.007916877062002656
16,0.0072800019078919495
17,0.006762252902515603
18,0.006505520255697325
19,0.006546051791470926
20,0.006866056820427751
21,0.007417689380115483
22,0.008166526093973319
23,0.00908964133059733
24,0.01018084682050871
25,0.011458549125940645
26,0.012949559219598708
27,0.014665145480376979
28,0.01659451694045484
29,0.01875299107136725
30,0.021155463674464182
31,0.02377999079044217
32,0.026630386723856966
33,0.029683005362838612
34,0.03297788834522003
35,0.03650015018091799
36,0.04025216457552462
37,0.04425111012556504
38,0.04848541169286445
39,0.0529611644192427
40,0.057691459965840096
41,0.06268747090600696
42,0.06795232964105062
43,0.0734869582041833
44,0.07929008293129548
45,0.085357570382792
46,0.09168500119744193
47,0.09827865054625778
48,0.10514058270763618
49,0.11227210620947704
50,0.11968566669956651
51,0.12739205086601846
52,0.1353909531638696
53,0.14367596972568492
54,0.1522414693270935
55,0.16108334611664057
56,0.17019257890122344
57,0.17956708788636808
58,0.18920881317229893
59,0.19912051969105055
60,0.20929763692794057
61,0.2197355062950047
62,0.23042881632353807
63,0.24137293166019624
64,0.2525626095445664
65,0.2639949810497771
66,0.27566149029192016
67,0.28755712021861507
68,0.2996748979776587
69,0.31201025831447765
70,0.32455956438502664
71,0.3373214211829759
72,0.3502931753902195
73,0.36347070903750694
74,0.3768441622440611
75,0.3904031337275261
76,0.4041352417598252
77,0.41803146390330453
78,0.4320815340867502
79,0.446276118344926
80,0.46060606494489503
81,0.4750625308400253
82,0.48963886244043076
83,0.5043272065827596
84,0.5191205899753097
85,0.5340114179307209
86,0.5489942723725746
87,0.564060224914074
88,0.5792009986119269
89,0.5944083590799408
90,0.6096696339177572
91,0.6249759901162989
92,0.6403168586396103
93,0.6556817420981449
94,0.6710622837120227
95,0.6864470382010542
96,0.7018258988054161
97,0.7171878382330605
98,0.7325208777319039
99,0.7478142844735036
100,0.7630592832697457
