l,EE
2,5.437061533414419e-15
3,8.514880892461451e-15
4,9.151220996002623e-15
5,7.70755937306433e-15
6,5.371283738472569e-15
7,3.2299757676615414e-15
8,1.818156380452213e-15
9,1.134110138746917e-15
10,8.998287270641842e-16
11,8.264705081392185e-16
12,7.545694087525117e-16
13,6.568985439655994e-16
14,5.717842602440827e-16
15,5.347710340727469e-16
16,5.48006031631598e-16
17,5.883116972063885e-16
18,6.329816491306707e-16
19,6.805282202332321e-16
20,7.345267345534331e-16
21,8.084138007896178e-16
22,9.163873192945219e-16
23,1.0560981205968915e-15
24,1.2226083519372091e-15
25,1.4130115591103546e-15
26,1.6260700109126646e-15
27,1.8618735451029804e-15
28,2.11838340573444e-15
29,2.3970089817306177e-15
30,2.699015604944792e-15
31,3.020414334970806e-15
32,3.3614834718612105e-15
33,3.722284662020339e-15
34,4.112269612698754e-15
35,4.533267049981358e-15
36,4.987853133902358e-15
37,5.474506873794535e-15
38,5.987696451772373e-15
39,6.529784029500779e-15
40,7.105457710545762e-15
41,7.718341886178435e-15
42,8.367736310481054e-15
43,9.051837025059587e-15
44,9.768550000853236e-15
45,1.0515401138760028e-14
46,1.1290547979534333e-14
47,1.2096254831677299e-14
48,1.2934887646480409e-14
49,1.38087123116774e-14
50,1.4721494653659248e-14
51,1.5676210162827154e-14
52,1.6672073164329908e-14
53,1.770690765398959e-14
54,1.8778637579504156e-14
55,1.9885386844666294e-14
56,2.102497605832227e-14
57,2.219761277257196e-14
58,2.3404401255093455e-14
59,2.4646545749013488e-14
60,2.592425047933688e-14
61,2.7237571399937012e-14
62,2.858597142336335e-14
63,2.9968865203977e-14
64,3.138556740367458e-14
65,3.2835692699045495e-14
66,3.431800567078023e-14
67,3.5831470457525836e-14
68,3.737470111737213e-14
69,3.894661175368015e-14
70,4.0546216523189814e-14
71,4.217290666272662e-14
72,4.3826281552860526e-14
73,4.550581767105817e-14
74,4.721019158213997e-14
75,4.893797994697236e-14
76,5.06874858486732e-14
77,5.2457517753885284e-14
78,5.424671056925111e-14
79,5.605379933292426e-14
80,5.787751922357412e-14
81,5.971655073453535e-14
82,6.156955517898293e-14
83,6.343493920242059e-14
84,6.53112096261569e-14
85,6.719677345586391e-14
86,6.909034478328185e-14
87,7.099026547418297e-14
88,7.28949844970791e-14
89,7.480295103810437e-14
90,7.671201450901343e-14
91,7.862054843786207e-14
92,8.052672212566786e-14
93,8.242872900456329e-14
94,8.43250627616883e-14
95,8.621381734590762e-14
96,8.809328697426998e-14
97,8.996166613815772e-14
98,9.181704960908635e-14
99,9.365773244419548e-14
100,9.548230999136926e-14
101,9.728897789398966e-14
102,9.907493209531046e-14
103,1.0084036884245094e-13
104,1.0258148468990097e-13
105,1.0429747650268423e-13
106,1.0598654145902112e-13
107,1.0764787705254882e-13
108,1.0927868109405308e-13
109,1.1087815171271773e-13
110,1.1244348735689546e-13
111,1.1397387294928043e-13
112,1.154684383513668e-13
113,1.1692429989791507e-13
114,1.1833957424055135e-13
115,1.197143783458981e-13
116,1.210468294931032e-13
117,1.223340452706413e-13
118,1.2357614357275892e-13
119,1.2477124259514946e-13
120,1.2591846083009542e-13
121,1.270159170609834e-13
122,1.2806273035621794e-13
123,1.2905802006249877e-13
124,1.299999057974588e-13
125,1.308885074417204e-13
126,1.3172194513027707e-13
127,1.3250033924323877e-13
128,1.3322181039596572e-13
129,1.3388647942857546e-13
130,1.3449246739481825e-13
131,1.3503988623666027e-13
132,1.3552881083104654e-13
133,1.359573069177681e-13
134,1.3632744039940787e-13
135,1.3663627732708078e-13
136,1.3688488388562448e-13
137,1.370723263781369e-13
138,1.3719967120993681e-13
139,1.3726598487197125e-13
140,1.3727133392369433e-13
141,1.3721778497531765e-13
142,1.371034046695153e-13
143,1.369292596628194e-13
144,1.3669641660615128e-13
145,1.3640394212517838e-13
146,1.3605390280006957e-13
147,1.3564736514479066e-13
148,1.3518439558598525e-13
149,1.3466606044147236e-13
150,1.3409342589833553e-13
151,1.3346752310529605e-13
152,1.3278924349421267e-13
153,1.3206044341303886e-13
154,1.3128297898777747e-13
155,1.3045670609894848e-13
156,1.2958448035781195e-13
157,1.286661570823231e-13
158,1.277055912728641e-13
159,1.2670263758786874e-13
160,1.256601503192412e-13
161,1.2457998336763859e-13
162,1.2346399021772199e-13
163,1.2231602391324886e-13
164,1.2113593703215328e-13
165,1.1992658166160737e-13
166,1.1869080937310621e-13
167,1.1743147119752727e-13
168,1.1615141760029963e-13
169,1.1485349845664984e-13
170,1.1353956302693697e-13
171,1.122134599321422e-13
172,1.1087803712953005e-13
173,1.0953614188844953e-13
174,1.081906207664211e-13
175,1.0684631958542414e-13
176,1.0550505225826559e-13
177,1.0417150731487098e-13
178,1.0284834133000518e-13
179,1.015382100510287e-13
180,1.0024576837573983e-13
181,9.89746703306757e-14
182,9.77285690498204e-14
183,9.651011675373769e-14
184,9.532396472917584e-14
185,9.417476330922227e-14
186,9.306516185387086e-14
187,9.199890873123616e-14
188,9.098105129928098e-14
189,9.001543588815435e-14
190,8.910630778314303e-14
191,8.82576112082601e-14
192,8.74736893105529e-14
193,8.675868414502197e-14
194,8.611703666032118e-14
195,8.55531866852053e-14
196,8.507157291569978e-14
197,8.467683290313472e-14
198,8.437340304294057e-14
199,8.416571856434678e-14
200,8.405821352090324e-14
201,8.405560873211351e-14
202,8.416227562624449e-14
203,8.438277238321011e-14
204,8.472155597875137e-14
205,8.518318217977013e-14
206,8.577200554069234e-14
207,8.649267940088004e-14
208,8.734965588314943e-14
209,8.834728589340599e-14
210,8.949021912138176e-14
211,9.07830040425776e-14
212,9.222988792137312e-14
213,9.383551681533742e-14
214,9.560443558082793e-14
215,9.754018787977131e-14
216,9.964841618776493e-14
217,1.0193266180350956e-13
218,1.0439646485951632e-13
219,1.0704536433414386e-13
220,1.0988289806505717e-13
221,1.1291260276401017e-13
222,1.1614001403302842e-13
223,1.1956766638200842e-13
224,1.2320009324771504e-13
225,1.2703982701421368e-13
226,1.3109239903473901e-13
227,1.353613396550151e-13
228,1.3984917823798955e-13
229,1.4456044319006014e-13
230,1.494986619887333e-13
231,1.5466536121170364e-13
232,1.6006506656743357e-13
233,1.6570130292713163e-13
234,1.7157659435818322e-13
235,1.7769446415900043e-13
236,1.8405843489527886e-13
237,1.9066902843766155e-13
238,1.975297660007506e-13
239,2.0464216818352311e-13
240,2.1201075501105192e-13
241,2.1963704597754357e-13
242,2.2752256009065924e-13
243,2.356698159171428e-13
244,2.4408033162960466e-13
245,2.5275662505454166e-13
246,2.616982137215047e-13
247,2.709086149134097e-13
248,2.803893457179229e-13
249,2.901399230798786e-13
250,3.00163863854719e-13
251,3.1045876858873484e-13
252,3.210275727519382e-13
253,3.318702956166831e-13
254,3.4298895658880613e-13
255,3.5438257526542806e-13
256,3.660531714934417e-13
257,3.7800076542868167e-13
258,3.9022437759575216e-13
259,4.027260289483711e-13
260,4.155047409302979e-13
261,4.285605355366903e-13
262,4.4189343537588966e-13
263,4.555034637315943e-13
264,4.693896446252982e-13
265,4.835500028790658e-13
266,4.979835641784548e-13
267,5.126883551356389e-13
268,5.27663403352643e-13
269,5.429077374846257e-13
270,5.584183873031792e-13
271,5.741943837596213e-13
272,5.902337590481659e-13
273,6.065315466690038e-13
274,6.230877814912143e-13
275,6.398984998154196e-13
276,6.569617394362391e-13
277,6.742745397043958e-13
278,6.918339415885117e-13
279,7.096349877364913e-13
280,7.276737225365089e-13
281,7.459481921775403e-13
282,7.644524447093506e-13
283,7.831835301019961e-13
284,8.02137500304792e-13
285,8.213094093043602e-13
286,8.406953131826472e-13
287,8.60288270173648e-13
288,8.800853407197388e-13
289,9.000805875271602e-13
290,9.202690756207315e-13
291,9.406478723977853e-13
292,9.611990476811361e-13
293,9.81932673771294e-13
294,1.002838825497622e-12
295,1.0238975802686238e-12
296,1.0451190181211611e-12
297,1.0664832217686664e-12
298,1.0879902766482647e-12
299,1.109630270966757e-12
300,1.131393295745479e-12
301,1.1532895627966686e-12
302,1.1752897585642248e-12
303,1.1974046903664262e-12
304,1.2196251685029074e-12
305,1.2419420062929989e-12
306,1.2643560201126512e-12
307,1.2868480294298702e-12
308,1.3094188568385972e-12
309,1.3320593280909832e-12
310,1.3547502721280578e-12
311,1.377502521108651e-12
312,1.4002969104365869e-12
313,1.4231342787860255e-12
314,1.445995468124962e-12
315,1.468871323736749e-12
316,1.4917726942396456e-12
317,1.5146704316042955e-12
318,1.5375653911691125e-12
319,1.5604484316534024e-12
320,1.5833204151683447e-12
321,1.6061622072255924e-12
322,1.6289646767435108e-12
323,1.6517186960510327e-12
324,1.6744151408889712e-12
325,1.6970548904088155e-12
326,1.719628827168906e-12
327,1.7421178371279693e-12
328,1.764512809635926e-12
329,1.7868146374219132e-12
330,1.8090042165795498e-12
331,1.8310824465492643e-12
332,1.8530402300977983e-12
333,1.8748584732946996e-12
334,1.8965380854858706e-12
335,1.9180599792640955e-12
336,1.9394250704365168e-12
337,1.9606242779890485e-12
338,1.981648524047691e-12
339,2.002488733836756e-12
340,2.0231458356339633e-12
341,2.0435907607224e-12
342,2.0638244433393847e-12
343,2.0838378206221564e-12
344,2.1036118325504905e-12
345,2.1231474218862026e-12
346,2.142425534109553e-12
347,2.161447117352577e-12
348,2.1801831223294283e-12
349,2.198654502263657e-12
350,2.2168422128125876e-12
351,2.234747196865104e-12
352,2.252360339089326e-12
353,2.2696725112192382e-12
354,2.2866845870913364e-12
355,2.3033774425549047e-12
356,2.319751955379698e-12
357,2.3357990051610368e-12
358,2.3515094732224895e-12
359,2.366864242516044e-12
360,2.3818641975200694e-12
361,2.3965002241349685e-12
362,2.4107632095767328e-12
363,2.4246440422684086e-12
364,2.4381436117296202e-12
365,2.451252808464233e-12
366,2.4639625238462266e-12
367,2.4762736500039024e-12
368,2.488167079702534e-12
369,2.4996637062255127e-12
370,2.5107244232541555e-12
371,2.5213801247462025e-12
372,2.531591704813181e-12
373,2.541380057596638e-12
374,2.5507360771434542e-12
375,2.5596506572802144e-12
376,2.5681146914868736e-12
377,2.5761290727696223e-12
378,2.5836846935332595e-12
379,2.5907724454529765e-12
380,2.5973932193457527e-12
381,2.603547905041389e-12
382,2.609207391253323e-12
383,2.61440256544921e-12
384,2.6191143137214548e-12
385,2.623343520657682e-12
386,2.6271010692112534e-12
387,2.6303778405719096e-12
388,2.6331847140365673e-12
389,2.6355125668803703e-12
390,2.6373622742280217e-12
391,2.638734708925476e-12
392,2.6396207414120344e-12
393,2.640031239592896e-12
394,2.6399570687121934e-12
395,2.639389091226626e-12
396,2.6383481666796307e-12
397,2.6368151515762445e-12
398,2.6348008992585874e-12
399,2.632296259782121e-12
400,2.629322079792616e-12
401,2.6258590363083354e-12
402,2.6219171383117955e-12
403,2.6175062249160954e-12
404,2.612616131340904e-12
405,2.6072466887938053e-12
406,2.6014177243525914e-12
407,2.5951190608485987e-12
408,2.5883405167510974e-12
409,2.5811119060527915e-12
410,2.5734230381564364e-12
411,2.5652737177626916e-12
412,2.5566737447591646e-12
413,2.547622914110802e-12
414,2.5381310157515525e-12
415,2.5282078344775044e-12
416,2.5178431498414224e-12
417,2.5070567360488394e-12
418,2.4958483618557196e-12
419,2.4842177904677875e-12
420,2.47216477944158e-12
421,2.459709080587306e-12
422,2.446840439873595e-12
423,2.4335585973342206e-12
424,2.4198832869768465e-12
425,2.4058142366939867e-12
